Model,Validation_MAE_mL,Validation_RMSE_mL,Validation_Max_Error_mL,Validation_R_squared
Linear,6.658451710131448,8.863203584711059,18.660009693269046,0.9966381008081012
Quadratic,6.898475181292775,8.723092806048575,17.249287517612743,0.9967435514363936
Cubic,6.908886943054765,8.742641024864117,17.212987551786398,0.9967289398535105
Piecewise-linear,6.984440649301568,8.69498773874918,17.323132858657686,0.9967645016357918
