Model,MAE_mL,RMSE_mL,Maximum_Error_mL,Mean_Signed_Error_mL,R_squared,Percent_Within_10mL,Percent_Within_25mL,Percent_Within_50mL
Linear,6.658451710131448,8.863203584711059,18.660009693269046,-3.0248341381256894,0.9966381008081012,75.0,100.0,100.0
Quadratic,6.898475181292775,8.723092806048575,17.249287517612743,-3.1351625393097002,0.9967435514363936,75.0,100.0,100.0
Cubic,6.908886943054765,8.742641024864117,17.212987551786398,-3.137724551059707,0.9967289398535105,75.0,100.0,100.0
Piecewise-linear,6.984440649301568,8.69498773874918,17.323132858657686,-3.123843675965435,0.9967645016357918,66.66666666666666,100.0,100.0
